,full_text,tweet_english
307,terus lanjutin ikn internet gratis ngikut2 program ganjar bangun fasilitas buat tentara janji2nyg laen gana sekarang si joko udah narik utang yang ntah berapa puluh taun baru bayar yah biar ujung2nya cm omon omon bakal dilaksanain sih,continue to continue the internet free following the odd program build facilities for the army promise2nyg laen gana now the joko has withdrawn the debt that knows how many tens of years have just paid well so that the ends of cm omon omon will be implemented anyway
308,temen kantor tidak pernah ngerasain naik krl pas pp kerja malah tuju program lanjut contoh lanjutin ikn biar bangun rata sampe indonesia timur andai paham,office friends have never been able to get on the Krl pas pp work and instead go to a further program for further examples like IKN so that they can build up to eastern Indonesia if they understand
309,tak pakai air cuci beras hasil olah makan siang gratis payah hitung anggar janji banyak lagi lanjut program berat dana macam ikn fakultas dokter alutsista,not using water washing rice from free lunch processing is difficult to calculate fencing appointments many more further fund weight programs such as the faculty of doctor alutsista
310,mana mungkin china kolaborasi oposisi dik dengan lanjut program kuasa 3 periode ikn made in china,how is it possible for china to collaborate with the opposition in furthering the 3-period power program ikn made in china
311,rapat kabinet jokowi mulai bahas program makan siang gratis ribu asn bakal mulai pindah ikn juli datang film fast furious 11 bakal jadi sekuel film akhir lengkap,jokowi cabinet meeting began to discuss the free lunch program thousand asn will begin to move ikn July come the film fast furious 11 will be the sequel to the final film complete
312,gak masuk akal nih program kalaupun program jalan akan berat apbn bayar hutang bunga bangun ikn infrastruktur lain mental politikus yang bobrok mau buat menteri khusus makan gratis apa jadi bancak korupsi lagi,it doesn't make sense that the program even if the road program will be heavy apbn pay interest debt wake up ikn other infrastructure mentality of dilapidated politicians want to make special ministers eat for free or become corrupt again
313,ikn stop aja program nekat masih cukup dana tanya solusi gimana hutang naikin pajak cabut subsidi bbm listrik air kah,"ikn just stop, the desperate program is still enough funds to ask a solution how do debts increase taxes, withdraw subsidies for electricity and water?"
314,kalian pikir ngga sih program makan susu gratis akan sedot apbn gila2an bahkan target tahun pertama misal 20 still huge numbers i guess terus program menteri gimana ikn apa kabar emang negara sanggup ngebiayain 2 mega proyek sekaligus,do you think the free milk eating program will suck apbn crazy2an even the first year target for example 20 still huge numbers i guess continue the ministerial program how do you think the state is able to finance 2 mega projects at once
315,salah satu nyusahin rakyat program mau lanjut ikn kamu tidak sedih lah kan bos,"one of the people's difficulties in the program wants to continue if you're not sad, boss"
316,kah akan jadi sistem lanjut program bangun ikn banyak bobrok malah bangun megah sndri,is it going to be a further system of building programs that many are dilapidated and even build a magnificent industry
317,ikn sertifikat elektronik masuk program 100 hari menteri ahy,ikn electronic certificate entered the 100-day program minister ahy
318,2 program prabowo ini lanjut jadi tanya hutang negara lanjut jadi makin banyak ikn dari awal janji tdk sama sekali pakai apbn negara tetap jga di lanjut pakai apbn negara,These 2 prabowo programs continue so ask the state debt further so that more and more ikn from the beginning of the pledge not at all to use apbn the state will still continue to use apbn the state
319,twitter banyak bilang ikn scam cuma hidup nyata warga rasa program bangun bagus gue di kalimantan btw jadi gue sekali tanya dapat politik tanpa serang,twitter says a lot ikn scam only real life residents think the wake up program is good I'm in kalimantan btw so I once asked can politics without attacking
320,lha kan tinggal jawa ibukota negara borneo kan ikn biar sana negara baru mau ngapain serah bikin program makan siang gratis,"iha, I live in Java, the capital of the Borneo state, I don't know, so why would a new country want to do a handover to make a free lunch program?"
321,emang program apa bagus naik gaji jabat makan gratis ikn buat jabat,what is a good program to increase the salary of a free meal post to make a post
322,ibukota pindah ikn prabowo dibikinin negara sendiri kalimantan joko widodo kalo mau ikut kalimantan silah silah atur sendiri program sana,capital moved ikn prabowo made its own country kalimantan joko widodo if you want to join kalimantan silah silah arrange your own program there
323,sy kira jkwi pasti program ikn wujud tuntas biar nama masuk sejarah telah pensiun jd milu kali kerja extra pasti program dia jln terus minim mangkrak,i think JKWI must have a complete program IKN form so that the name in history has retired JD MILU extra work times for sure his program JLN continues to be minimally defunct
324,lah kalau program cuma lap bola doang emang jadi masalah pov kan banyak aspek mau upgrade mulai dr paling dasar masalah pangan sampe tersier lap bola budget nya gede ikn hanya untuk golong tentu,well if the program is only lap ball doang emang so the problem pov right many aspects want to upgrade starting from the most basic food problem until tertiary lap ball budget is big ikn only for golong of course
325,rakyat indonesia kaya emang siap sama program bagus kaya gin ujung bilang omonomon seperti lebih percaya taksi terbang ikn,the rich people of Indonesia are ready with a good program rich gin tip say omonomon like more trusting flying taxis ikn
326,program makan gratis biaya nya 500 t loh duit nya mana ngutang sdng kan ikn aja butuh 466 t selamat deh moga tdk jadi bencana menang anak aja udah gelontor apbn trilyunan,the free meal program costs 500 t loh wangnya mana ngutang sdng kan ikn aja need 466 t congratulations deh moga tdk so disaster win children aja already gelontor apbn trillions
327,assalamualaikum mas gibran maaf ganggu kenal sugianto kawarang izin bertnya kait program rencana asn akan dipindhkan ikn bulan agustus thun apakah kriteria khusus bisa pilih jadi kandidat asn dipindhkan ikn,assalamualaikum mas gibran sorry for disturbing to know sugianto kawarang permission bertnya hook asn plan program will be shifted ikn in august thun whether special criteria can choose to be candidates asn shifted ikn
328,memng anggar kan sdh jelas atas target 02 13x lipat ada program maksi gratis lagi bangun ikn sekarang apa2 sdh mulai dipajakin y dana dr kamu itu semua makanya siap2 iket pinggang karna bakal naik smua,"fencing is clear on the 02 13x target, there is a free maksi program again, wake up now, what are you starting to be sure about the funds from you, that's all, so be ready for the waistline because it will go up even"
329,duit pajak rakyat dipake buat mewah jabat ikn awal dibilangin urgensi bangun ikn apa kalo begini arti bangun wilayah exclusive buat jabat orang kaya kok orang ngelanjutin program dan milih orang,"people's tax money is used for luxury, the initial position is said to be the urgency of building, what if this is the meaning of building an exclusive area for rich people's posts, how come people continue the program and choose people"
330,saya kata arti ada daycare belum rata itu banyak sekali program perintah sedang akan laksana itu tidak urgensi ikn kereta cepat mohon tetap kritisi program perintah sekian terima kasih,i said the meaning of daycare is not flat yet there are so many command programs that will be like that there is no urgency like fast trains please still critique the command program so thank you
331,kira bakal maju satu kalimantan nyata emang program jokowi maju kalimantan ikn embel2 lanjut gaada program maju kalimantan malah mau bikin kota2 baru pantura,"think it will advance a real Kalimantan, especially the jokowi program to advance Kalimantan, if it continues, there is no program to advance Kalimantan, even if it wants to make new cities in Pantura"
332,jokowi be like gimana gw jalan program kerja kalau bagi2 kaos gwyang bagi2 beras gwyang jagain titik 0 ikn gw camping situ gwyang gunting2 pita gwitu komik belum tamat gw baca coba la erti sama kasih 3 periode gitu lho,"jokowi be like how do I run a work program if for 2 gwyang t-shirts for 2 gwyang rice gwyang jagain point 0 ikn gw camping there gwyang scissors2 ribbons gwitu comic has not finished I read try it same meaning love 3 periods, you know"
333,semua ubah iklim bukan program makan gratis bangun kota ikn,all climate change is not a free meal program build a city ikn
334,hil mustahal kepala bapenas arief prasetyo adi prediksi butuh biaya realisasi program makan siang gratis tembus rp500 triliun angka tsb bahkan jauh lebih besar estimasi biaya bangun ibu kota nusantara ikn sekitar rp466 triliun,hil mustahal head bapenas arief prasetyo adi predictions need the cost of realizing a free lunch program through Rp500 trillion the figure is even much greater the estimated cost of building the capital of the archipelago is around Rp466 trillion
335,program abah anies bangun sarana prasarana 40 provinsi tara jakarta pada anggar negara buat ikn,abah anies program to build infrastructure facilities in 40 provinces of tara jakarta on state fencing for IKN
336,lah kan program selalu gaung mau dikerjaakan apbn tahun guna tidak sedikit 450ttahun tara harga ikn terus salah kalo tanya cara distribusi lama kampanye pernah jelas,"well, the program is always ravine to be worked apbn year for not a little 450years tara prices ikn continue to be wrong if you ask how the old distribution of the campaign was ever clear"
337,program perintah cepat penuh duduk ikn,full quick command program sit ikn
338,wow total biaya program susu gratis pak prabowo tara dg biaya bangun ikn tuh saudara mungkin besar import pulak jangan deh indonesia punya program ternak ln kaya,wow the total cost of the free milk program sir prabowo tara with the cost of building ikn tuh brother may be a big import anyway don't deh Indonesia has a livestock program ln rich
339,kalo kalimantan 5kg 87k sih pak lucahsoalnya ongkir barang sini mahal gegara kurang tol jalan banyak rusaksemoga perintah depan ada nama perubahansoalnya program ikn sangat bantu yang dikalimantanterimakasih,"if kalimantan 5kg 87k anyway, sir porno, the freight here is expensive, gegara is less toll road, many rusaksemoga the front order has a name change, the IKN program is very helpful, which is said to be thank you"
340,gaji guru banyak bawah pemda alokasi anggar provinsi dki jakarta semua normal malah cenderung lebih asumsi ikn nusantara di bawah langsung pempus gaji guru tara dki jakarta coba barangkali sukses program 40 kota,"teacher salaries are a lot below the local government's allocation of fencing in Jakarta province, all are normal, even tend to be more assumptions in the archipelago under the direct management of teacher salaries in Jakarta, try maybe the success of the 40 city program"
341,biasa buat nyicil ikn sama program makan siang gratis,used to make installments with the free lunch program
342,maaf bu dokter seperti beban apbn makin berat harus cari pasu sektor mana apakah pinjam utang luar negeri atau beban yang kena rakyat pasal ikn ttp lanjut tambah program makan susu gratis analisa bu dokter,"sorry, ma'am, doctor, like the burden of apbn is getting heavier, you have to find a vase in which sector, whether it's borrowing foreign debt or the burden of the people, the article says, but further add a program to eat free milk, analyze it, ma'am, doctor"
343,makanya aku tidak yakin sama program program empuk banget buat jd lahan korupsi anggar tidak main2 belum mereka mau naikkin gaji jabat blum buat lanjut ikn darimana duit,that's why I'm not sure if the soft program is really good for jd land corruption fencing don't play around yet they want to increase their salary to continue ikn where the money is
344,demgan program makan siang gratisindonesia mampu bangun bendung lebih banyak lagitermasuk taxi terbang ikn,demgan free lunch programindonesia able to build more weirs including flying taxis ikn
345,jokowi bukan bajol bukan buayamengerikan diam diam sangat berbahayauntuk ikn butuh 466t negara tengah mati penuh beli pesawat bekas kata batal sampai hutanglalu program makan siang gerat tiap th perlu 450t,jokowi not bastard not buayamhorrible silence very dangerous silence for ikn need 466t the country is dying full buy used planes word cancel until debt then the gerat lunch program every year needs 450t
346,target paripurna amin bukti curang menang pilpres program ubah pertama 1 evaluasi koreksi revisi ikn uu omnibus law stabil seluruh harga bahan pokok pangan rakyat sedia energi jangkau,target plenary amen fraudulent evidence of winning the presidential election first change program 1 evaluation revision correction ikn uu omnibus law stable all prices of people's food staples available energy reach
347,minimal jelas dr progrvmnyakita logic aj inti mas semua kan pmasukan minimtp jorjor an infrastrukturujungnya utang bungadomino bahan lainnanti program makan matek aj siap kalean gempur pajak dllsimpelmo stop ikn nafas dl hrsna ud btul it anis,minimum clear dr progrvmnyakita logic aj inti mas all right input minimtp jorjor an infrastructure end of debt bungadomino other materialsnanti program makan matek aj ready kalean gempur pajak etcsimpelmo stop ikn breath dl hrsna ud btul it anis
348,ketimbang ngabisin jatah jumlah menteri max 34 padahal solusi misal 1 jadi program lintas menteri bagi tugas atur lewat ppamp pres 2 bikin lembaga perintah tanggung jawab presiden macam bmkgbrinbpsbpombnnotorita ikn dsbg,than leaking the number of ministers max 34 even though the solution for example 1 is a cross-ministerial program for the task of regulating through ppamp press 2 to make presidential responsibility orders such as bmkgbrinbpsbpombnnotorita ikn etc.
349,bayangin betapa gk efisien andai semua program jangka panjang perintah menteri sendiri menteri blt pisah kemensos menteri urus ikn menteri giant sea wall pisah kemen pupr menteri hilir menteri transisi ebt,shadowin how gk efficient if all long-term programs minister's own orders minister blt pisah kemensos minister manage ikn minister giant sea wall pisah kemen pupr minister downstream minister ebt transition minister
350,sebenernya ikn bukan program aneh eksekusi aneh,actually ikn is not a strange program of strange execution
351,kemarin ngoceh program kagak mungkin sekarang kerja ngoceh ikn kata jadi kota hantu batas 2 jt duduk ngoceh ngoceh orang orang yang sama,yesterday ngoceh program is not possible now work ngoceh ikn word so ghost town limit 2 million sit ngoceh ngoceh people same people
352,program rusak indonesia 450triliun bikin ikn tiap tahun,indonesia's 450trillion-damaged program makes IKN every year
353,baca ulas kompas kait dana makan siang gratis makin jelas program kalau sanding ikn buat menkeu misuhmisuh negara jual risol merch dapat dana tambah,read compass review hook free lunch fund more clearly program if sanding ikn for menkeu misuhmisuh country selling risol merch get more funds
354,pleciden datangikn digempurprogram maksi kata giant sea wall butuh duit semua weyini kaum medioker mw peras ampe gmn lg,pleciden datangikn dibempurprogram maksi kata giant sea wall need money all weyini orang medioker mw squeeze ampe gmn lg
355,saran pak utama ikut program wamil gen z tiktot dukung militan jadi juga kuproy ikut bangun ikn bakti negeri mantap,the main sir's advice is to take part in the gen z tiktot military service program to support militants so that I can also take part in building a stable state service
356,kalo gaada lanjut gamungkin program sumur resap pake di ikn bang,"if gaada continues, maybe the infiltration well program will be used in ikn bang"
357,emang ikn penting program bagus buat buat maju negara indonesia,it is important to have a good program to develop the country of Indonesia
358,gw kira ikn program paling aneh,i think it's the strangest program
359,program makan siang gratis ikn proyek habis banyak anggar baik tunda,free lunch program ikn project run out of good fencing snooze
360,miris akibat kbijakan pnguasa lebih milih mmbangun ikn drpd mnjalankn program swasembada pangan lebih milih ngasih bansos drpd gunain uang buat mmbangun sumber daya mnusia mmbantu tani nelayan ternak dng pupuk pakan murah,sadly due to the policy of pnguasa more choose mmbangun ikn than mnjalankn food self-sufficiency program more choose to give bansos than gunain money to build human resources mmbantu farmer fishermen livestock with cheap feed fertilizer
361,ini beras naik nyaris 2x lipatprogram makan gratis anggar 400 triliun tahuntahun depan harga beras lebih tinggi yakin program makan gratis di jalan mungkin anggar nya 600 triliun ingat ikn anggar 500 t,this rice rose almost 2x the free meal program fencing 400 trillion next year higher rice prices sure the free meal program on the road maybe fencing 600 trillion remember ikn fencing 500 t
362,yg nyerang siapa sih bang sy hnya menanykan tu program konsep sprti apa sprti makan siang gratis untk peljr ibu hamil rakyat miskin program gmn konsep untk lanjut sblumnya kan sudh undang tu program ikn lnjut udah undangundang ny loh,who attacked who the hell bang I just wanted to show the concept program sprti what sprti free lunch for peljr pregnant women poor people program gmn concept for further sblumnya right sudh the law program ikn lnjut already invite ny loh
363,kok dangkal mad justru buka pikir 450 t buat makan aja masuk akal udah 135 pake anggran negara 2024 anggar udah hampir tara ikn satu program aja udah ngebebanin negara lagi isu pangkas subsidi bbm buat program masuk akal,how shallow mad even open to thinking 450 t for eating just makes sense already 135 use state budget 2024 fencing is almost tara ikn one program just already burdened the country again the issue of cutting bbm subsidies to make the program reasonable
364,what keluar gagas prabowo cuma sederhana lanjut program perintah tunjuk angkat tema indonesia maju angkat isu terus hilirasi terus ikn itu gagas sisa joget joget,what comes out of gagas prabowo is just simple continue the command program show lift the Indonesian theme forward lift the issue directly downstream and then ikn it gagas the rest of the joget joget
365,kalo program jangka pendek tengah panjang bansos meski ada salah sasar bpjs meski banyak bayar ikn bandara tol whoosh gw bilang progam perintah sekarang semua buruk cuma ada beberapa tanya,if the short term program is long bansos even though there is wrong targeting bpjs even though many pay ikn airport toll whoosh gw say the command program is now all bad there are only a few questions
366,ikn anggar puluh trilyun sibuk sanasini cari investor janji surga hak lahan capai ratus tahun lah yang rencana 400ttahun wkwkwkkw program makan siang gratis prabowo capai rp400 t sumber uang,ikn fencing tens of trillions are busy sanasini find investors promise heaven land rights reach hundred years is the 400tahun plan wkwkwkkw free lunch program prabowo reach rp400 t source of money
367,lha 02 sama nama usaha lanjut progam bagus jokowi program baru emng ubah apa mau rubah awal nolak ikn akhir2 bilang lanjut ikn apa apa mau rubah mau hilang pajak tiada dpr coba sebut,lha 02 the name of the business continues the good program jokowi new program change what you want to change early nolak ikn finally say continue ikn what you want fox want to lose tax no dpr try to say
368,beneran twit dr kuliah mas emang bangun ikn pkae uang apa jamin duit food estate dah mulai dr 5 taun lalu jadi apa singkong bukan jagung jelek minta suapin terus lah janji program makan siang gratis siapa apa it bukan supin terus arti,really twit from college mas eang wake up ikn pkae money what guarantee money food estate has started from 5 years then what cassava is not bad corn ask for bribery then promise a free lunch program who what is it not supin continue meaning
369,kluster didik ikn buah pusat unggul didik fasilitas kini programprogram inovatif bentuk generasi masa depan,cluster of learners IKN fruit center of excellence learners facilities now innovative programs form future generations
370,import beras no food estate yes yang bener dong ngerjainnya jangan jadi bancak ikn yes pakai hutang tidak masalah prefer subsidi program makan gratis blt bansos punya siapa kaka benar mau bain jatuh,import rice no food estate yes that's right dong ngerjainnya don't be a bancak ikn yes use debt no problem prefer subsidy free meal program blt bansos own who really want to bain fall
371,woy andre banmeletus tolol siapa ngarepin makan gratis tunggu 2029 cepat penghilngan subsidi bbm trus sma naik pajak rakyat mah penting lebih penting bangun ikn punya program gitu loe bela jadi tolol siapa elu apa gw,woy andre banmeletus moron who ngarepin eat free wait 2029 quickly disqualify bbm subsidy trus high school increase people's taxes mah important more important wake up ikn have a program like that loe bela be a moron who elu what gw
372,bloon ikn bs jd legacy lah cm maksi abis perut aja haha anyway kenal kuliah udah buat usaha produksi distribusi niat sasar program macam catering lah haha you know what libat di bansos covid bahkan jd saksi vultures,bloon ikn bs jd legacy is cm maksi abis belly aja haha anyway know college have made a business of distribution of intentions targeting programs such as catering is haha you know what is involved in bansos covid even jd witnesses vultures
373,emg program ra jelas dri awal gk masuk akal tambah ikn ikn pfftt,emg program ra clear from the beginning gk makes sense add ikn ikn pfftt
374,jadi gin emg betul prabowo lanjutin program jokowi tpi bukan lanjutin program naikin harga beras naikin harga sembako jadi tu prabowo lanjutin program jokowi yaa lanjutin proyek baru tengah jadi contoh ikn,so gin emg really prabowo furtherin the jokowi tpi program instead of furtherin the program to increase the price of rice to increase the price of groceries so that's prabowo furtherin the jokowi program yaa furtherin the new project is being an example of IKN
375,ikn jalan lancar pimpin prabowogibran mereka sangat pantas lanjut program pak de,ikn run smoothly lead prabowogibran they are very fast continue the program sir de
376,prabowo gibran lantik semua program akan laksana baik,prabowo gibran appoint all programs will run well
377,mas gibran siap bertangung jawal laksana program dari kita kawal sama,mr. Gibran is ready to take the helm as a program from us to control the same
378,program sudah kaji pasti di laksana baik adil sabar di lantik sahabat,the program has been studied definitely in the implementation of good fair patience in appointing friends
379,jauh apa program prabowo sperti sekarang relate hidup ada mgkn yang tidak relatespr hilirisaai ikn semua dianjutkan ada proses evaluasi gampang kan saking gampang joget joget aja,far what is the prabowo program like now relates to life there are mgkn who do not relatespr downstreamisaai ikn all continued there is an easy evaluation process right so easy just joget joget
380,de karang siapa pantas program pak ans lanjut ikn,de coral who deserves the program pack ans further ikn
381,awal ragu sama program 40 kota tara jakarta telah lihat kembang ikn kata batas duduk emang mending 40 kota sih enggak bisa ngerasain kota tidak cuma kalang tentu,beginning to doubt the 40 city program tara jakarta has seen the development ikn word limit sat emang mending 40 city anyway can not design the city not only kalang of course
382,org kalimantan ngerasain apa mrt mau ikn buat ubah maju ngaruh mau ikn apa kota tetap banjir tiap hujan hutan gundul pabrik kertas prabowo yakin jadi mau mulai program dg dana fantastis janji,the people of kalimantan are wondering what mrt want to do to change it forward affect what city keep flooding every rain forest deforested prabowo paper factory sure so want to start the program with fantastic funds promise
383,suatu program pentingnamun bukan sekarang fokus anggar ikn biar cepat selesai rakyat bawah perlu gencet karna subsidi bbm rang hemat,an important program but not now the focus of fencing ikn so that it is quickly finished the people below need to be intense because the bbm subsidy is economical
